birthCountry,region,continent
United Kingdom,West Europe,Europe
Poland,East Europe,Europe
Italy,South Europe,Europe
Hungary,East Europe,Europe
Spain,South Europe,Europe 
Austria,East Europe,Europe
Denmark,North Europe,Europe
France,West Europe,Europe
Czech Republic,East Europe,Europe
Cyprus,South Europe,Europe
Belgium,West Europe,Europe
Netherlands,West Europe,Europe
Brazil,South America,South America
Switzerland,West Europe,Europe
Croatia,South Europe,Europe
Germany,West Europe,Europe
Egypt,North Africa,Africa
Bulgaria,South Europe,Europe
Qatar,West Asia,Asia
Saudi Arabia,West Asia,Asia
Yemen,West Asia,Asia
India,South Asia,Asia
Finland,North Europe,Europe
Thailand,Southeast Asia,Asia
China,East Asia,Asia
Sweden,North Europe,Europe
Slovakia,East Europe,Europe
Romania,East Europe,Europe
Monaco,South Europe,Europe
Latvia,North Europe,Europe
Tonga,Polynesia,Oceania
Cuba,Caribbean,North America
Sierra Leone,West Africa,Africa
Morocco,North Africa,Africa
Iraq,West Asia,Asia
United States,North America,North America
Mozambique,Southern Africa,Africa
Greece,South Europe,Europe
Norway,North Europe,Europe
Kuwait,West Asia,Asia
Namibia,Southern Africa,Africa
Uzbekistan,Central Asia,Asia
Portugal,South Europe,Europe
Turkey,West Asia,Asia
Haiti,Caribbean,North America
Philippines,Southeast Asia,Asia
Afghanistan,South Asia,Asia
Ireland,West Europe,Europe
Cambodia,Southeast Asia,Asia
Japan,East Asia,Asia
Serbia,East Europe,Europe
Montenegro,South Europe,Europe
Luxembourg,West Europe,Europe
Madagascar,East Africa,Africa
Nigeria,West Africa,Africa
Jamaica,Caribbean,North America
Armenia,Central Asia,Asia
Albania,South Europe,Europe
